Comment,Designator,Footprint,LCSC,Quantity
Resistor,"R1,R2",Resistor_0402,C25905,2
MX_SW_HS,"MX1,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX2,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX3,MX4,MX5,MX6,MX7,MX8,MX9",SW_MX_HS_CPG151101S11_1u,C41430893,28
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D3,D4,D5,D6,D7,D8,D9",D_SOD-123,C83528,28
